1005.09	1789.36
1016.55	1855.82
1027.99	1891.45
1039.41	1945.36
1050.82	1991.64
1062.22	2044.18
1073.6	2100.18
1084.96	2134.91
1096.31	2185.09
1107.65	2264.73
1118.97	2336
1130.28	2405.27
1141.57	2496.55
1152.85	2526.36
1164.12	2576
1175.37	2635.27
1186.6	2694.91
1197.82	2777.55
1209.03	2917.45
1220.22	3047.55
1231.4	3288.36
1242.57	3550.64
1253.72	3896.09
1264.85	4288.91
1275.97	4744.27
1287.08	5400.64
1298.17	6287.36
1309.25	7515.45
1320.32	9119.82
1331.37	10519.5
1342.41	10659.5
1353.43	9385.82
1364.44	7689.91
1375.43	6312.09
1386.42	5359.82
1397.38	4764.36
1408.34	4318.45
1419.28	3974.27
1430.2	3765.91
1441.12	3657.73
1452.01	3602.82
1462.9	3598.18
1473.77	3655.45
1484.63	3742.27
1495.47	3843.91
1506.3	4003.09
1517.12	4201.55
1527.92	4504.91
1538.71	5043.09
1549.48	6037.18
1560.25	7758.91
1571	9030.27
1581.73	8380.46
1592.45	7386.82
1603.16	6800.45
1613.86	5447.91
1624.54	3662.55
1635.2	2646.36
1645.86	2187.82
1656.5	1953.82
1667.13	1808.91
1677.75	1709.82
1688.35	1653.09
1698.94	1620
1709.51	1592.27
1720.07	1546.09
1730.62	1521.55
1741.16	1519.18
1751.68	1491.27
1762.19	1449.27
1772.69	1397
1783.17	1376.64
1793.64	1351.18
1804.1	1349.36
1814.54	1311.09
1824.97	1291.45
1835.39	1295
1845.8	1281.55
1856.19	1277.45
1866.57	1278.45
1876.94	1270.45
1887.29	1257.45
1897.63	1261.73
1907.96	1250.64
1918.28	1252.09
1928.58	1235.18
1938.87	1232.82
1949.15	1235.64
1959.41	1226.91
1969.67	1226.27
1979.91	1231.73
1990.13	1228.36
2000.35	1233.45
2010.55	1228.09
2020.74	1228.45
2030.92	1235.91
2041.08	1231.27
2051.23	1226.18
2061.37	1241.55
2071.5	1230.55
2081.62	1252.64
2091.72	1225
2101.81	1223.18
2111.88	1209.91
2121.95	1232.36
2132	1229.91
2142.04	1233.36
2152.07	1227.09
2162.09	1235.82
2172.09	1224.18
2182.08	1252.27
2192.06	1258.27
2202.03	1268.82
2211.99	1272.27
2221.93	1272.73
2231.86	1298.82
2241.78	1278.45
2251.69	1276.36
2261.58	1281.55
2271.46	1291.45
2281.34	1300
2291.2	1308.55
2301.04	1303.64
2310.88	1327.82
2320.7	1341.18
2330.51	1356.64
2340.31	1364.18
2350.1	1395.36
2359.87	1406.36
2369.64	1409.91
2379.39	1426.91
2389.13	1446.55
2398.86	1469.36
2408.58	1486.45
2418.28	1495.91
2427.97	1527
2437.65	1554.55
2447.32	1569.82
2456.98	1596
2466.63	1611.36
2476.26	1616.45
2485.89	1642.45
2495.5	1651.91
2505.1	1680.91
2514.69	1691.82
2524.26	1717.82
2533.83	1739.45
2543.38	1753.45
2552.93	1787
2562.46	1816.55
2571.98	1875.82
2581.49	1910.64
2590.99	1978.82
2600.47	2061.36
2609.95	2136.18
2619.41	2217.09
2628.86	2326.45
2638.3	2456.09
2647.73	2602.64
2657.15	2745.73
2666.56	2900.18
2675.95	3009.18
2685.34	3055.82
2694.71	3057.36
2704.07	2966.45
2713.42	2839
2722.76	2682.82
2732.09	2527.73
2741.41	2422.36
2750.72	2331.09
2760.01	2261.55
2769.3	2231.45
2778.57	2205.73
2787.83	2189.36
2797.08	2186.91
2806.32	2162.27
2815.55	2189.27
2824.77	2209.27
2833.98	2240.18
2843.18	2273.82
2852.36	2303.09
2861.54	2346.18
2870.7	2402.91
2879.86	2469.27
2889	2519.73
2898.13	2552.91
2907.25	2615.73
2916.36	2643.73
2925.46	2666.36
2934.55	2674.73
2943.63	2604.64
2952.7	2574.45
2961.75	2492.55
2970.8	2417.18
2979.84	2324.36
2988.86	2280.91
2997.88	2213.64
3006.88	2168.36
3015.87	2139.45
3024.86	2098.64
3033.83	2076.91
3042.79	2018.27
3051.74	2013
3060.68	1987.45
3069.61	1959.09
3078.53	1972.27
3087.44	1962.45
3096.34	1959.18
3105.23	1958.64
3114.11	1971.64
3122.97	1996.09
3131.83	2012.45
3140.68	2025.73
3149.52	2056.27
3158.35	2061.27
3167.16	2079.27
3175.97	2078.36
3184.76	2079.82
3193.55	2064.73
3202.32	2060.64
3211.09	2052.91
3219.84	2052.36
3228.59	2068.18
3237.32	2053.73
3246.05	1974.27
3254.76	1889.91
3263.47	1858.27
3272.16	1846.27
3280.85	1860.73
3289.52	1850.27
3298.18	1876
3306.84	1853.18
3315.48	1863.09
3324.12	1875.45
3332.74	1859.27
3341.35	1876.91
3349.96	1875.73
3358.55	1857.82
3367.14	1876.36
3375.71	1900.27
3384.28	1902.36
3392.83	1905.82
3401.38	1927.18
3409.91	1941
3418.44	1961.91
3426.95	1963.18
3435.46	1986.73
3443.95	1981.55
3452.44	1994.09
3460.92	2021
3469.38	2026.55
3477.84	2038.73
3486.29	2036.18
3494.73	2054.18
